Japan,Romaji
の,no
に,ni
を,wo
は,ha
年,nen
が,ga
た,ta
で,de
て,te
と,to
し,shi
月,gatsu
日,nichi
れ,re
さ,sa
者,mono
する,suru
も,mo
ます,masu
利用,riyou
こと,koto
ある,aru
いる,iru
な,na
から,kara
い,i
ない,nai
ページ,peeji
第,dai
へ,he
や,ya
日本,nippon
として,toshite
です,desu
か,ka
会話,kaiwa
削除,sakujo
この,kono
市,shi
県,ken
れる,reru
あり,ari
ん,n
よう,you
ため,tame
的,teki
編集,henshuu
ください,kudasai
人,nin
という,toiu
など,nado
依頼,irai
なっ,natsu
名,mei
版,han
でき,deki
ませ,mase
リンク,rinku
駅,eki
記事,kiji
‐,‐
について,nitsuite
う,u
その,sono
もの,mono
投稿,toukou
ば,ba
町,machi
まし,mashi
なる,naru
場合,baai
あっ,atsu
ノート,nooto
号,gou
方針,houshin
回,kai
さん,san
まで,made
だ,da
中,naka
ので,node
一,ichi
放送,housou
後,nochi
おり,ori
人物,jinbutsu
署名,shomei
本,hon
において,nioite
家,ie
られ,rare
また,mata
選手,senshu
お,o
活動,katsudou
東京,toukyou
画像,gazou
会,kai
学校,gakkou
映画,eiga
時,toki
情報,jouhou
性,sei
部,bu
より,yori
案内,annai
質問,shitsumon
区,ku
ご,go
大,dai
上,ue
紹介,shoukai
作成,sakusei
日本語,nihongo
これ,kore
位,kurai
国,kuni
二,ni
一覧,ichiran
作品,sakuhin
ようこそ,youkoso
議論,giron
使用,shiyou
村,mura
出典,shutten
世界,sekai
テレビ,terebi
による,niyoru
州,shuu
なり,nari
三,san
問題,mondai
昭和,shouwa
線,sen
郡,gun
番組,bangumi
ファイル,fu
脚注,kyakuchuu
賞,shou
なく,naku
なら,nara
自己,jiko
話,hanashi
ず,zu
により,niyori
分,fun
前,mae
代表,daihyou
たら,tara
せ,se
化,ka
平成,heisei
に関する,ni
できる,dekiru
出身,shusshin
仮,kari
スタイル,sutairu
ガイドライン,gaidorain
思い,omoi
方,hou
外部,gaibu
数,kazu
五,go
内容,naiyou
児童,jidou
関連,kanren
ヘルプ,herupu
現在,genzai
時代,jidai
元,moto
それ,sore
研究,kenkyuu
新,shin
注意,chuui
他,hoka
金,kin
局,kyoku
機能,kinou
あなた,anata
除去,jokyo
鉄道,tetsudou
項目,koumoku
】,)
【,(
目,me
とき,toki
用,you
曲,kyoku
社,sha
使い方,tsukaikata
必要,hitsuyou
説明,setsumei
基本,kihon
によって,niyotte
大学,daigaku
変更,henkou
水,mizu
新しい,atarashii
チーム,chiimu
執筆,shippitsu
道,michi
間,kan
型,kata
でしょ,desho
サッカー,sakkaa
大会,taikai
ガイドブック,gaidobukku
地,chi
のみ,nomi
み,mi
書か,kaka
べき,beki
たり,tari
ブロック,burokku
私,watashi
戦,sen
公式,koushiki
出演,shutsuen
可能,kanou
登場,toujou
等,nado
系,kei
特別,tokubetsu
監督,kantoku
氏,shi
次,tsugi
だっ,datsu
高等,koutou
時間,jikan
き,ki
～,~
内,nai
音楽,ongaku
歴史,rekishi
所,tokoro
発売,hatsubai
だけ,dake
語,go
なかっ,nakatsu
ボックス,bokkusu
生徒,seito
学,gaku
記録,kiroku
軍,gun
万,man
！,!
場,ba
全,zen
別,betsu
初,hatsu
シリーズ,shiriizu
土,tsuchi
木,ki
総合,sougou
何,nani
行っ,itsu
ゲーム,geemu
サイト,saito
関係,kankei
られる,rareru
お願い,o
同じ,onaji
サンド,sando
つ,tsu
考え,kangae
見,ken
火,hi
アルバム,arubamu
点,ten
機,ki
アニメ,anime
国際,kokusai
法,hou
ドラマ,dorama
大阪,oosaka
ただし,tadashi
行わ,okonawa
たち,tachi
柱,hashira
マニュアル,manyuaru
リーグ,riigu
コメント,komento
教育,kyouiku
野球,yakyuu
方々,katagata
確認,kakunin
役,yaku
株式会社,kabushikigaisha
同,dou
こんにちは,konnichiha
書く,kaku
長,chou
所属,shozoku
開始,kaishi
主,shu
形,katachi
アメリカ,amerika
＝,
アカウント,akaunto
ここ,koko
選手権,senshuken
出場,shutsujou
たい,tai
存在,sonzai
十,juu
記述,kijutsu
際,kiwa
参考,sankou
事典,jiten
ら,ra
史,shi
以上,ijou
以下,ika
作,saku
競技,kyougi
方法,houhou
結果,kekka
世,yo
続け,tsuzuke
における,niokeru
歳,toshi
システム,shisutemu
および,oyobi
科,ka
権,ken
参加,sanka
車,kuruma
地域,chiiki
委員,iin
その後,sono
高,taka
クラブ,kurabu
事業,jigyou
都,miyako
今後,kongo
名前,namae
よく,yoku
式,shiki
小学校,shougakkou
度,do
期,ki
作曲,sakkyoku
巻,kan
発言,hatsugen
集,shuu
和書,washo
王,ou
ソート,sooto
バス,basu
一部,ichibu
しかし,shikashi
？,？
事,koto
多く,ooku
にて,nite
開催,kaisai
開発,kaihatsu
デフォルト,deforuto
下さい,kudasai
なお,nao
百科,hyakka
自由,jiyuu
会社,kaisha
御,o
作業,sagyou
読み,yomi
下,shita
編,hen
南,minami
事件,jiken
受け,uke
に関して,ni
世紀,seiki
カテゴリ,kategori
過去,kako
代,dai
しまっ,shimatsu
表記,hyouki
中央,chuuou
優勝,yuushou
以降,ikou
明治,meiji
各,kaku
ね,ne
選挙,senkyo
出版,shuppan
北,kita
文章,bunshou
発表,happyou
中国,chuugoku
アメリカ合衆国,amerika
年度,nendo
…,…
→,→
円,en
協会,kyoukai
市立,shiritsu
旧,kyuu
英語,eigo
機関,kikan
収録,shuuroku
スポーツ,supootsu
級,kyuu
す,su
約,yaku
担当,tantou
及び,oyobi
東,higashi
一般,ippan
ドイツ,doitsu
著作,chosaku
当時,touji
自分,jibun
文化,bunka
指定,shitei
地方,chihou
物,mono
参照,sanshou
自身,jishin
年生,nensei
管理,kanri
制作,seisaku
学生,gakusei
使っ,tsukatsu
企業,kigyou
終了,shuuryou
都市,toshi
すれ,sure
名称,meishou
秒,byou
書き,kaki
社会,shakai
廃止,haishi
提案,teian
グループ,guruupu
漫画,manga
センター,sentaa
女子,joshi
決定,kettei
女性,josei
よ,yo
四,shi
子,ko
京都,kyouto
理由,riyuu
中学校,chuugakkou
番号,bangou
×,
ほか,hoka
記載,kisai
彼,kare
年代,nendai
設立,setsuritsu
にとって,nitotte
概要,gaiyou
番,ban
試合,shiai
フランス,furansu
まず,mazu
交通,koutsuu
オリンピック,orinpikku
禁止,kinshi
頁,peeji
新規,shinki
記念,kinen
無視,mushi
声,koe
シングル,shinguru
他人,tanin
部分,bubun
意見,iken
スペース,supeesu
すぐ,sugu
でも,demo
色,shoku
イギリス,igirisu
丁目,choume
政治,seiji
プロ,puro
文献,bunken
その他,sono
設置,setchi
艦,kan
施設,shisetsu
詳しく,kuwashiku
没,botsu
公開,koukai
なさ,nasa
力,chikara
ラジオ,rajio
意味,imi
島,shima
通り,touri
もし,moshi
画面,gamen
製作,seisaku
店,mise
テンプレート,tenpureeto
どう,dou
に対して,ni
節,fushi
修正,shuusei
名古屋,nagoya
全国,zenkoku
ながら,nagara
府,fu
連続,renzoku
呼ば,yoba
西,nishi
議員,giin
シーズン,shiizun
総,sou
そう,sou
回答,kaitou
はじめまして,hajimemashite
対象,taishou
路線,rosen
位置,ichi
なけれ,nakere
郵便,yuubin
体,karada
道路,douro
いい,ii
人口,jinkou
押す,osu
隣,tonari
同様,douyou
個人,kojin
行為,koui
面,men
追加,tsuika
館,kan
そのもの,sonomono
構い,kamai
読ん,yon
馬,uma
期間,kikan
”,”
しよ,shiyo
せる,seru
科学,kagaku
ましょ,masho
城,shiro
ガイド,gaido
転送,tensou
手,te
生,nama
ま,ma
技術,gijutsu
あ,a
持つ,motsu
神,kami
作詞,sakushi
変換,henkan
行う,okonau
経済,keizai
北海道,hokkaidou
あれ,are
間違い,machigai
団,dan
側,gawa
楽しみ,tanoshimi
表示,hyouji
必ず,kanarazu
種,tane
閲覧,etsuran
楽曲,gakkyoku
ニュース,nyuusu
以外,igai
川,kawa
再,sai
ところ,tokoro
隊,tai
星,hoshi
上部,joubu
メッセージ,messeeji
とても,totemo
現,gen
調査,chousa
計画,keikaku
実り,minori
勝,kachi
メンバー,menbaa
多き,ooki
最終,saishuu
新聞,shinbun
同年,dounen
わから,wakara
写真,shashin
多い,ooi
表,omote
ファースト,fu
中心,chuushin
改名,kaimei
海,umi
小説,shousetsu
ござい,gozai
女,onna
大切,taisetsu
荒らし,arashi
タイトル,taitoru
キャラクター,kyarakutaa
／,/
ステップ,suteppu
明記,meiki
山,yama
受賞,jushou
直し,naoshi
“,“
歌,uta
え,e
復帰,fukki
※,※
撮影,satsuei
注,chuu
さらに,sarani
車両,sharyou
回避,kaihi
特定,tokutei
先,saki
新た,arata
書,kaki
初心者,shoshinsha
状態,joutai
トレーニング,toreeningu
法人,houjin
提供,teikyou
間違え,machigae
院,in
劇場,gekijou
または,mataha
出,shutsu
試し,tameshi
神社,jinja
予定,yotei
文,bun
兼ね,kane
例,rei
でし,deshi
地区,chiku
移動,idou
福岡,fukuoka
当該,tougai
に対する,ni
高校,koukou
得点,tokuten
年齢,nenrei
報告,houkoku
目次,mokuji
男,otoko
頃,goro
省,shou
みなさん,minasan
成績,seiseki
改竄,kaizan
戦争,sensou
広島,hiroshima
攻撃,kougeki
小,shou
資料,shiryou
ほど,hodo
うち,uchi
経,kei
プロジェクト,purojiekuto
ちょっとした,chottoshita
影響,eikyou
建築,kenchiku
曖昧,aimai
場所,basho
対応,taiou
作り上げる,tsukuriage
ワンポイント,wanpointo
以前,izen
航空,koukuu
橋,hashi
字,ji
○,○
保存,hozon
官,kan
花,hana
超,chou
愛,ai
最後,saigo
室,shitsu
イタリア,itaria
台,dai
無,mu
国立,kokuritsu
販売,hanbai
光,hikari
協力,kyouryoku
いたし,itashi
ロシア,roshia
両,ryou
横浜,yokohama
特に,tokuni
編曲,henkyoku
六,roku
配信,haishin
制,sei
注釈,chuushaku
サイズ,saizu
員,in
主義,shugi
不明,fumei
卒業,sotsugyou
いう,iu
言語,gengo
県立,kenritsu
枠,waku
用い,mochii
八,hachi
掲載,keisai
統合,tougou
組織,soshiki
得,e
派,ha
営業,eigyou
人間,ningen
こちら,kochira
備考,bikou
存命,zonmei
企画,kikaku
自動車,jidousha
モデル,moderu
千,sen
海軍,kaigun
ありがとう,arigatou
右,migi
構成,kousei
公園,kouen
ご覧,go
保護,hogo
政府,seifu
今,ima
しか,shika
統計,toukei
章,shou
愛知,aichi
舞台,butai
お知らせ,o
知ら,shira
最初,saisho
ち,chi
韓国,kankoku
教授,kyouju
そして,soshite
なし,nashi
時点,jiten
列車,ressha
書い,kai
百,hyaku
組,kumi
条,jou
理解,rikai
文庫,bunko
最高,saikou
所在地,shozaichi
父,chichi
テーマ,teema
行政,gyousei
完全,kanzen
生活,seikatsu
七,shichi
設定,settei
男子,danshi
俳優,haiyuu
実施,jisshi
朝,asa
研究所,kenkyuusho
ライブ,raibu
陸上,rikujou
空港,kuukou
率,ritsu
専門,senmon
グランプリ,guranpuri
特筆,tokuhitsu
物語,monogatari
枚,mai
主要,shuyou
独立,dokuritsu
建設,kensetsu
娘,musume
正,sei
森,mori
未,hitsuji
音,oto
しまう,shimau
生年月日,seinengappi
校,kou
通常,tsuujou
発生,hassei
群,gun
目的,mokuteki
獲得,kakutoku
全て,subete
源,gen
向け,muke
国道,kokudou
公,kou
女優,joyuu
一方,ippou
就任,shuunin
年間,nenkan
風,kaze
件,ken
かも,kamo
提出,teishutsu
反対,hantai
連合,rengou
学者,gakusha
本社,honsha
解説,kaisetsu
祭,matsuri
新潟,niigata
務め,tsutome
わ,wa
それぞれ,sorezore
分類,bunrui
一つ,hitotsu
ちゃん,chan
千葉,chiba
判断,handan
デビュー,debyuu
団体,dantai
宇宙,uchuu
投票,touhyou
かつて,katsute
戦闘,sentou
アジア,ajia
当初,tousho
財団,zaidan
重,juu
指摘,shiteki
じ,ji
これら,korera
と共に,to
億,oku
鈴木,suzuki
サービス,saabisu
とも,tomo
之,yuki
年月日,nengappi
生まれ,umare
佐藤,satou
製造,seizou
電車,densha
副,fuku
外,soto
複数,fukusuu
構造,kouzou
思わ,omowa
デザイン,dezain
雑誌,zasshi
限定,gentei
発行,hakkou
帝国,teikoku
原作,gensaku
とともに,totomoni
論,ron
重要,juuyou
事務所,jimusho
文字,moji
脚本,kyakuhon
評価,hyouka
心,kokoro
票,hyou
病院,byouin
状況,joukyou
競馬,keiba
ダム,damu
持っ,motsu
行,gyou
契約,keiyaku
国内,kokunai
良い,yoi
警察,keisatsu
寺,tera
対,tsui
こ,ko
戦い,tatakai
独自,dokuji
こう,kou
データ,deeta
主張,shuchou
☆,☆
誌,shi
スーパー,suupaa
藩,han
り,ri
バンド,bando
真,makoto
埼玉,saitama
言葉,kotoba
夏,natsu
映像,eizou
実際,jissai
いく,iku
付,tsuki
公演,kouen
含む,fukumu
イベント,ibento
項,kou
フジテレビ,fujiterebi
達,tooru
よろしく,yoroshiku
リリース,ririisu
師,shi
最大,saidai
代目,daime
アップ,appu
量,ryou
マン,man
運営,un'ei
運動,undou
表現,hyougen
田中,tanaka
彼女,kanojo
街,machi
家族,kazoku
訳,wake
米,kome
ノ,no
ログイン,roguin
履歴,rireki
会議,kaigi
圏,ken
石,ishi
現代,gendai
神奈川,kanagawa
面積,menseki
事実,jijitsu
使わ,tsukawa
文学,bungaku
ヨーロッパ,yooroppa
着,chaku
基礎,kiso
ゆう,yuu
少年,shounen
運行,unkou
どの,dono
高い,takai
翻訳,honyaku
行い,okonai
様,sama
生産,seisan
士,samurai
すべて,subete
相手,aite
船,fune
合併,gappei
無い,nai
山口,yamaguchi
作っ,tsukutsu
詳細,shousai
開業,kaigyou
夢,yume
電気,denki
福島,fukushima
環境,kankyou
非,hi
全体,zentai
高速,kousoku
ネット,netto
段,dan
国家,kokka
江戸,edo
分割,bunkatsu
競走,kyousou
まま,mama
地名,chimei
盤,ban
大正,taishou
国籍,kokuseki
採用,saiyou
静岡,shizuoka
長野,nagano
図,zu
気,ki
通信,tsuushin
いただき,itadaki
行動,koudou
勝利,shouri
わけ,wake
発見,hakken
初代,shodai
スペイン,supein
社長,shachou
種類,shurui
能力,nouryoku
妻,tsuma
ほう,hou
母,haha
学園,gakuen
通,toori
英,ei
支援,shien
登録,touroku
編成,hensei
共同,kyoudou